timestep,vehicle_id,x,y,speed,angle,edge
0,veh_0,3087.1959098347716,3895.4269178738887,32.02548748111575,-0.08884185186586913,motorway_A1
0,veh_1,2826.606943238636,3192.1596711691536,26.738961031387102,270.4241936427552,motorway_A6
0,veh_2,2161.7287094505346,2000.0458078247443,23.812159189956347,179.6617069332885,motorway_A6
0,veh_3,2989.1176947027434,3954.5730940530575,34.065299697929,269.98686169947644,motorway_A3
0,veh_4,3052.1390013950995,3858.522098832218,28.563627701801114,269.63848414364963,motorway_A6
0,veh_5,3228.2946242119024,2152.205876327427,34.48208529814539,0.32381828858928996,motorway_A3
0,veh_6,3748.3643518547246,2083.242692871248,31.18381223922397,269.8191843772599,motorway_A1
0,veh_7,3024.3617971313083,2231.9742100641297,25.33024787234369,0.13088102063020413,motorway_A1
0,veh_8,2778.9994266719013,2928.363987096914,23.453341120380486,-0.03357515045249426,motorway_A6
0,veh_9,3588.959468198839,3333.391295246389,22.329665608077278,269.62682553021057,motorway_A3
0,veh_10,3436.7688019750044,2698.2057246212057,32.55208552386682,270.26572510062067,motorway_A6
0,veh_11,3960.7629400448427,2722.654694953025,22.81033739288056,90.48191418463982,motorway_A1
0,veh_12,2558.2034847596224,3242.587999990479,32.84901636931098,90.01762538731771,motorway_A3
0,veh_13,3208.6057480506424,3362.2679459625747,24.760455435993517,0.0943776237563938,motorway_A1
0,veh_14,2956.367208456476,2391.1795918615394,28.26779965416944,270.2079571081873,motorway_A3
0,veh_15,3585.5010944400447,3365.488902339016,23.142812158666025,270.14293504587476,motorway_A3
0,veh_16,2699.739899542364,2471.1657752787337,30.02281507322011,-0.08745404520652433,motorway_A3
0,veh_17,2912.4132675714213,2503.1262081282316,26.417707633482195,90.21988790883651,motorway_A6
0,veh_18,3694.03046186206,2733.857277601662,23.31827555751728,179.6312854762482,motorway_A3
0,veh_19,3417.0439429287117,3263.3371504649012,33.9170980168723,-0.07162348960309317,motorway_A1
0,veh_20,3498.863276005398,2946.538542255935,23.1172973561598,179.70419080179894,motorway_A6
0,veh_21,3372.413625384056,3413.0660910820666,25.86313261420535,179.93476039232385,motorway_A3
0,veh_22,2032.469093203613,3655.8304707233974,30.645192960715033,180.21292684173088,motorway_A1
0,veh_23,3291.916248948998,2153.0935900798027,24.498098919222773,179.60834831747061,motorway_A1
0,veh_24,2113.087806336323,2249.489988416632,23.49751043408028,-0.14266433159629888,motorway_A1
0,veh_25,2226.2751582160686,2478.165977067582,24.11086130339672,90.06581391007516,motorway_A1
0,veh_26,2789.9216193507077,3451.262216747925,33.841824642536224,89.52367513725125,motorway_A6
0,veh_27,3472.4498399414524,2072.1158851536134,32.67571708032248,90.44032725941,motorway_A3
0,veh_28,3683.774816297954,2407.368448016839,31.1470250207247,270.2058222457964,motorway_A6
0,veh_29,2342.276599284546,3355.225685776023,27.91854775814378,-0.14866894713041068,motorway_A6
0,veh_30,2750.9733100857643,2467.8488544634183,34.23173146306043,89.91343468802108,motorway_A3
